,,DESCENDENCIA EJEMPLAR,,,,,,,
,REGISTRO:,193844,,,,,,,
,NOMBRE:,ONIX (FC),,,,,,,
REGISTRO,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE,
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
1132070,PREDILECTA DE LOS CEREZOS,,04/02/2013,CASTAÑO,HEMBRA,AVID*840*036*371,GD,P30
1132220,NOBLEZA DE J.T.,,29/07/2015,CASTAÑO,HEMBRA,AVID*839*846*368,GD,P30
1132400,IMPACTO DE MONTECARMELO,,17/01/2015,CASTAÑO,MACHO,AVID*839*813*066,GD,P10
1132420,BACHATA DE VILLA CARMELA,,15/07/2015,CASTAÑO,HEMBRA,AVID*839*828*050,GD,P30
1132780,PODEROSO DE MONTEOSCURO,,18/09/2013,CASTAÑO,MACHO,AVID*841*779*594,GD,P20
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
1132870,ATRACTIVO DE LUXO CAUJARAL,27/07/2015,CASTAÑO,MACHO,AVID*841*381*262,GD,P3,2191850
1132880,KIMBO DE LUXO CAUJARAL,14/02/2016,CASTAÑO,MACHO,AVID*841*522*601,GD,P3,2193050
1133520,ROSA ANGELINA,20/04/2015,CASTAÑO,HEMBRA,AVID*841*358*279,GD,P3,1759030
1133660,SUBLIME ESTAMPA DE VILLA ENOJO,10/03/2014,CASTAÑO,HEMBRA,AVID*845*028*517,GD,P3,1122960
1133730,LIRIO ROJO DEL DILUVIO,22/01/2015,CASTAÑO,MACHO,AVID*844*627*526,GD,P3,1929280
1133750,NAVIDAD DEL DILUVIO,20/12/2014,NARANJUELOHEMBRA,,AVID*844*632*836,GD,P3,1123420
1134420,CABALLERO DE MEDIA NOCHE DE RIOBAMBA,08/03/2017,CASTAÑO,MACHO,AVID*601*583*037,GD,P3,2288470
